timestamp,node_id,incoming_tx,outgoing_tx,remaining_tx,missing_tx,tx_from_client,tx_from_node,tx_from_node_detail
48,0,4725,6950,6568,0,3008,1717,"[0, 281, 1, 189, 50, 441, 61, 490, 559, 465, 516, 178, 307, 248, 240, 372, 99, 168, 15, 254, 255, 156, 40, 542, 230, 225, 59]"
49,0,4443,7331,3680,0,437,4006,"[0, 533, 116, 766, 257, 1186, 1035, 355, 360, 852, 301, 904, 979, 1166, 1035, 836, 1111, 512, 584, 1229, 1211, 441, 133, 686, 1169, 806, 848]"
50,0,3691,2431,4940,0,3481,210,"[0, 7, 64, 47, 46, 70, 42, 60, 38, 31, 58, 61, 6, 62, 22, 23, 33, 39, 66, 52, 13, 50, 22, 13, 31, 21, 26]"
51,0,4035,535,8440,0,1169,2866,"[0, 645, 84, 860, 163, 799, 177, 25, 272, 312, 786, 711, 398, 951, 117, 696, 607, 174, 127, 158, 11, 706, 884, 581, 660, 417, 639]"
52,0,4846,7439,5847,0,1949,2897,"[0, 513, 900, 529, 101, 395, 788, 445, 59, 539, 472, 339, 926, 649, 642, 832, 965, 921, 875, 869, 638, 173, 958, 708, 500, 640, 543]"
53,0,3238,975,8110,0,1192,2046,"[0, 415, 528, 381, 369, 667, 571, 654, 249, 129, 137, 313, 467, 58, 414, 389, 236, 673, 145, 206, 74, 625, 398, 40, 417, 244, 26]"
54,0,4489,6178,6421,0,3744,745,"[0, 32, 106, 223, 130, 44, 189, 239, 6, 24, 196, 54, 73, 30, 52, 160, 106, 202, 61, 162, 170, 171, 224, 54, 121, 248, 52]"
55,0,4566,3057,7930,0,2535,2031,"[0, 247, 510, 199, 378, 64, 328, 160, 85, 94, 113, 184, 434, 287, 482, 158, 335, 665, 296, 32, 458, 505, 484, 589, 245, 396, 152]"
56,0,3987,7173,4744,0,3879,108,"[0, 31, 0, 10, 26, 21, 24, 28, 5, 2, 17, 25, 19, 30, 18, 6, 27, 23, 6, 16, 29, 14, 4, 18, 15, 16, 24]"
57,0,3125,2082,5787,0,1757,1368,"[0, 329, 90, 353, 271, 49, 315, 382, 47, 133, 291, 456, 168, 80, 164, 359, 449, 85, 261, 129, 279, 171, 296, 168, 341, 70, 314]"
58,0,4706,3036,7457,0,1570,3136,"[0, 782, 640, 633, 840, 502, 871, 841, 47, 866, 744, 848, 242, 285, 725, 331, 768, 106, 801, 965, 803, 660, 592, 296, 641, 650, 381]"
59,0,3051,1994,8514,0,1994,1057,"[0, 75, 245, 290, 101, 249, 271, 276, 136, 121, 322, 307, 318, 143, 252, 173, 221, 301, 0, 306, 161, 205, 175, 83, 214, 187, 41]"
60,0,3928,7392,5050,0,1600,2328,"[0, 263, 295, 713, 272, 501, 299, 552, 319, 80, 352, 659, 710, 467, 221, 412, 686, 118, 120, 241, 23, 184, 699, 752, 768, 445, 161]"
61,0,3730,203,8577,0,2818,912,"[0, 270, 55, 251, 142, 286, 224, 147, 87, 141, 2, 223, 39, 190, 120, 179, 227, 132, 217, 45, 213, 239, 254, 147, 173, 281, 141]"
62,0,3373,5522,6428,0,1938,1435,"[0, 160, 146, 338, 394, 408, 469, 6, 338, 234, 244, 368, 73, 450, 347, 377, 281, 470, 211, 26, 6, 156, 23, 37, 396, 332, 362]"
63,0,4821,6853,4396,0,2548,2273,"[0, 668, 202, 199, 551, 544, 102, 560, 615, 242, 749, 450, 346, 643, 586, 290, 49, 493, 738, 200, 37, 162, 587, 752, 353, 503, 134]"
64,0,3122,2703,4815,0,1930,1192,"[0, 136, 136, 100, 49, 391, 65, 133, 130, 215, 229, 165, 4, 59, 337, 75, 128, 224, 175, 178, 153, 123, 100, 297, 335, 310, 39]"
65,0,4011,2339,6487,0,416,3595,"[0, 732, 973, 949, 1142, 1117, 721, 1033, 805, 415, 1033, 477, 1176, 363, 568, 1, 1113, 835, 293, 24, 992, 414, 755, 276, 1182, 38, 419]"
66,0,3433,2484,7436,0,2679,754,"[0, 57, 100, 160, 58, 212, 185, 3, 200, 116, 229, 124, 201, 123, 202, 243, 6, 187, 53, 88, 196, 246, 30, 46, 25, 199, 209]"
67,0,4342,6025,5753,0,704,3638,"[0, 544, 757, 707, 614, 32, 898, 562, 440, 615, 492, 251, 709, 354, 343, 6, 67, 299, 481, 494, 738, 1155, 944, 858, 1097, 175, 774]"
68,0,3428,759,8422,0,1836,1592,"[0, 207, 339, 475, 391, 67, 466, 253, 317, 240, 178, 127, 181, 514, 426, 195, 367, 41, 523, 175, 109, 400, 73, 218, 393, 503, 124]"
69,0,4949,7207,6164,0,3053,1896,"[0, 542, 238, 108, 488, 526, 146, 14, 288, 202, 379, 209, 111, 217, 364, 94, 456, 163, 87, 77, 329, 430, 66, 58, 371, 608, 206]"
70,0,4759,3820,7103,0,2295,2464,"[0, 362, 333, 512, 774, 799, 257, 372, 273, 785, 766, 549, 786, 645, 528, 122, 164, 572, 11, 722, 819, 759, 343, 530, 104, 621, 6]"
71,0,3997,6065,5035,0,471,3526,"[0, 599, 590, 627, 495, 153, 687, 41, 661, 838, 89, 429, 524, 270, 688, 239, 68, 819, 653, 721, 946, 175, 541, 454, 961, 840, 1003]"
72,0,4968,2866,7137,0,3219,1749,"[0, 9, 332, 47, 236, 563, 421, 579, 459, 420, 125, 232, 217, 394, 68, 291, 310, 46, 192, 149, 549, 426, 498, 14, 294, 82, 213]"
73,0,4164,5754,5547,0,3509,655,"[0, 121, 119, 181, 87, 14, 52, 56, 181, 82, 103, 61, 144, 158, 137, 107, 129, 33, 165, 67, 21, 86, 177, 167, 166, 182, 105]"
74,0,3110,3075,5582,0,2870,240,"[0, 3, 3, 68, 70, 17, 65, 73, 34, 33, 28, 49, 9, 72, 65, 73, 58, 30, 23, 21, 13, 61, 66, 73, 50, 53, 71]"
75,0,3113,1723,6972,0,2325,788,"[0, 39, 94, 7, 178, 21, 144, 31, 201, 99, 47, 97, 69, 99, 56, 2, 24, 85, 155, 21, 24, 182, 251, 125, 103, 121, 239]"
76,0,3948,129,10000,791,2503,1445,"[0, 382, 338, 262, 468, 283, 3, 177, 371, 195, 451, 241, 17, 182, 400, 67, 340, 57, 16, 146, 210, 235, 273, 329, 437, 76, 345]"
77,0,3148,6798,6350,0,765,2383,"[0, 330, 272, 686, 64, 737, 763, 706, 111, 125, 92, 299, 120, 487, 473, 207, 343, 505, 575, 179, 593, 746, 22, 283, 104, 279, 270]"
78,0,4051,594,9807,0,537,3514,"[0, 16, 834, 983, 1033, 365, 721, 881, 877, 87, 518, 436, 696, 803, 288, 452, 1104, 653, 1068, 771, 1158, 1002, 1022, 639, 865, 1094, 619]"
79,0,3015,7002,5820,0,2566,449,"[0, 42, 98, 134, 126, 52, 77, 48, 122, 111, 26, 68, 138, 39, 74, 51, 64, 88, 142, 102, 93, 46, 115, 60, 43, 68, 22]"
80,0,4114,3517,6417,0,474,3640,"[0, 305, 1002, 665, 1065, 15, 833, 713, 952, 1142, 372, 1096, 403, 1182, 1136, 401, 1016, 437, 849, 673, 587, 1080, 110, 464, 600, 691, 385]"
81,0,3999,1855,8561,0,53,3946,"[0, 307, 392, 741, 705, 109, 622, 600, 137, 1058, 542, 304, 1080, 616, 1118, 331, 701, 656, 328, 179, 3, 63, 591, 1309, 130, 938, 250]"
82,0,4748,6588,6721,0,1769,2979,"[0, 512, 513, 467, 431, 578, 702, 773, 718, 820, 753, 79, 368, 921, 785, 427, 935, 482, 869, 428, 794, 889, 448, 676, 268, 843, 757]"
83,0,4453,5263,5911,0,1388,3065,"[0, 217, 238, 497, 245, 860, 125, 519, 250, 756, 391, 118, 51, 304, 238, 807, 89, 22, 98, 459, 847, 389, 326, 112, 342, 560, 697]"
84,0,4738,1056,9593,0,249,4489,"[0, 1247, 1107, 397, 995, 459, 472, 910, 569, 1027, 1182, 1130, 778, 1347, 110, 1234, 1356, 851, 1353, 1063, 306, 1274, 82, 1143, 848, 286, 905]"
85,0,3852,6873,6572,0,2058,1794,"[0, 505, 462, 105, 319, 285, 300, 576, 518, 463, 227, 223, 81, 298, 216, 365, 258, 13, 90, 118, 204, 39, 147, 562, 409, 304, 281]"
86,0,3144,2767,6949,0,1548,1596,"[0, 337, 57, 498, 272, 269, 315, 516, 226, 180, 146, 53, 279, 302, 424, 3, 84, 8, 89, 315, 316, 531, 313, 447, 132, 309, 308]"
87,0,3959,3401,7507,0,1437,2522,"[0, 481, 189, 22, 539, 50, 813, 816, 391, 798, 52, 361, 685, 440, 162, 639, 217, 687, 641, 578, 71, 250, 509, 483, 164, 395, 637]"
88,0,3006,1978,8535,0,2243,763,"[0, 204, 110, 138, 133, 16, 60, 241, 221, 206, 159, 2, 212, 235, 118, 197, 67, 157, 134, 246, 249, 237, 98, 77, 78, 149, 79]"
89,0,4124,5558,7101,0,2109,2015,"[0, 379, 129, 65, 647, 553, 6, 234, 344, 134, 121, 306, 180, 178, 246, 644, 42, 92, 587, 134, 124, 176, 584, 436, 584, 196, 581]"
90,0,4983,5398,6686,0,3321,1662,"[0, 226, 488, 498, 30, 78, 522, 251, 367, 173, 165, 377, 366, 345, 170, 287, 294, 15, 339, 186, 495, 538, 343, 475, 109, 293, 517]"
91,0,4862,6929,4619,0,2468,2394,"[0, 467, 305, 670, 549, 229, 97, 543, 645, 270, 450, 72, 2, 258, 520, 141, 441, 218, 570, 425, 565, 758, 151, 88, 702, 287, 505]"
92,0,3911,1545,6985,0,3571,340,"[0, 23, 61, 92, 43, 12, 93, 53, 102, 32, 69, 59, 95, 79, 100, 16, 8, 99, 15, 68, 100, 109, 55, 51, 74, 83, 29]"
93,0,3016,2362,7639,0,2931,85,"[0, 14, 19, 27, 18, 22, 19, 18, 7, 28, 2, 17, 13, 11, 13, 0, 21, 26, 17, 6, 3, 28, 10, 17, 4, 23, 17]"
94,0,4453,5774,6318,0,2357,2096,"[0, 427, 16, 261, 229, 624, 581, 596, 697, 155, 337, 322, 358, 565, 603, 87, 258, 649, 195, 584, 38, 168, 366, 294, 71, 109, 69]"
95,0,3347,3091,6574,0,1397,1950,"[0, 498, 240, 52, 428, 306, 629, 50, 501, 271, 636, 90, 291, 409, 537, 214, 87, 540, 298, 154, 499, 10, 27, 66, 616, 603, 131]"
96,0,4616,7008,4182,0,4564,52,"[0, 8, 6, 13, 7, 11, 13, 7, 8, 6, 9, 12, 6, 16, 3, 3, 8, 12, 16, 14, 17, 7, 12, 5, 16, 5, 15]"
97,0,3578,1103,6657,0,2851,727,"[0, 180, 164, 114, 66, 231, 66, 41, 233, 118, 173, 28, 184, 113, 152, 237, 136, 232, 196, 53, 164, 138, 29, 40, 185, 41, 187]"
98,0,3585,2883,7359,0,2312,1273,"[0, 48, 63, 288, 183, 70, 273, 205, 231, 165, 164, 206, 223, 219, 338, 107, 334, 229, 200, 406, 18, 399, 59, 136, 218, 186, 371]"
99,0,3935,5341,5953,0,3023,912,"[0, 289, 186, 193, 146, 258, 251, 41, 59, 182, 3, 288, 200, 134, 62, 126, 189, 64, 282, 179, 2, 33, 190, 24, 151, 61, 141]"
100,0,3736,153,9536,0,3402,334,"[0, 45, 0, 98, 100, 32, 87, 91, 12, 8, 78, 85, 22, 75, 71, 19, 26, 92, 41, 89, 97, 78, 34, 0, 64, 90, 42]"
101,0,4893,5594,8835,0,1016,3877,"[0, 617, 922, 915, 908, 1163, 53, 215, 404, 1063, 940, 1270, 969, 877, 303, 477, 483, 585, 388, 733, 753, 546, 91, 169, 869, 869, 1273]"
102,0,4821,6789,6867,0,4517,304,"[0, 38, 29, 28, 48, 35, 96, 25, 36, 76, 88, 37, 3, 69, 24, 29, 60, 34, 1, 51, 2, 89, 46, 90, 59, 101, 9]"
103,0,3645,1750,8762,0,865,2780,"[0, 320, 304, 379, 170, 324, 407, 391, 883, 509, 208, 701, 306, 611, 369, 699, 468, 707, 361, 883, 603, 662, 633, 797, 85, 42, 88]"
104,0,4020,7136,5646,0,147,3873,"[0, 678, 1211, 819, 547, 439, 753, 1172, 1056, 810, 754, 155, 342, 1131, 85, 376, 749, 826, 685, 383, 771, 152, 647, 602, 919, 583, 1113]"
105,0,4008,2827,6827,0,1830,2178,"[0, 399, 640, 276, 332, 334, 434, 723, 112, 464, 626, 476, 80, 5, 198, 122, 593, 448, 394, 98, 183, 77, 492, 306, 209, 353, 336]"
106,0,4458,5375,5910,0,1216,3242,"[0, 404, 847, 956, 802, 724, 745, 230, 835, 177, 229, 888, 934, 328, 823, 1045, 979, 722, 1039, 459, 1012, 561, 211, 244, 758, 659, 752]"
107,0,4359,3193,7076,0,771,3588,"[0, 542, 1190, 571, 943, 246, 908, 1011, 216, 823, 436, 184, 992, 812, 870, 1075, 803, 703, 581, 1106, 1154, 318, 97, 1022, 641, 876, 873]"
108,0,3517,2740,7853,0,2125,1392,"[0, 290, 253, 456, 250, 398, 183, 376, 161, 235, 282, 378, 438, 120, 407, 362, 70, 185, 111, 23, 29, 189, 235, 425, 249, 250, 403]"
109,0,3695,5652,5896,0,1063,2632,"[0, 128, 180, 716, 630, 316, 785, 349, 27, 850, 689, 494, 44, 819, 406, 834, 479, 442, 540, 410, 776, 621, 707, 42, 399, 28, 669]"
110,0,3393,198,9091,0,208,3185,"[0, 942, 567, 637, 1059, 115, 262, 335, 13, 848, 987, 670, 205, 547, 97, 773, 1036, 919, 85, 306, 707, 388, 10, 286, 926, 56, 869]"
111,0,3903,5889,7105,0,28,3875,"[0, 1140, 673, 992, 669, 372, 409, 1063, 451, 310, 868, 882, 231, 257, 77, 1063, 791, 629, 452, 815, 1232, 899, 37, 865, 1130, 588, 574]"
112,0,4989,5983,6111,0,2844,2145,"[0, 208, 350, 381, 55, 99, 221, 541, 178, 645, 447, 530, 80, 55, 354, 93, 382, 195, 680, 119, 597, 149, 34, 12, 259, 206, 497]"
113,0,3892,2386,7617,0,1631,2261,"[0, 658, 257, 697, 150, 339, 267, 236, 500, 711, 257, 449, 499, 3, 679, 657, 92, 147, 599, 573, 58, 749, 425, 462, 568, 203, 570]"
114,0,4962,7057,5522,0,4845,117,"[0, 11, 36, 32, 17, 39, 11, 19, 7, 5, 9, 28, 24, 15, 0, 6, 5, 23, 2, 13, 19, 36, 2, 34, 26, 38, 6]"
115,0,4005,936,8591,0,2711,1294,"[0, 68, 303, 366, 70, 58, 160, 216, 258, 123, 424, 231, 431, 144, 143, 38, 79, 118, 89, 349, 303, 217, 192, 403, 198, 35, 125]"
116,0,3751,6070,6272,0,2604,1147,"[0, 19, 269, 237, 126, 35, 309, 326, 244, 353, 341, 131, 270, 214, 278, 269, 172, 123, 63, 227, 73, 339, 140, 328, 306, 307, 84]"
117,0,4792,5513,5551,0,2107,2685,"[0, 633, 332, 767, 874, 304, 417, 541, 330, 519, 222, 756, 196, 370, 590, 558, 463, 821, 616, 734, 334, 625, 783, 560, 69, 584, 161]"
118,0,3961,2111,7401,0,166,3795,"[0, 599, 906, 1185, 836, 20, 166, 966, 47, 379, 1203, 7, 871, 888, 388, 61, 94, 1203, 17, 1064, 167, 274, 505, 289, 1056, 196, 445]"
119,0,4270,5139,6532,0,2675,1595,"[0, 408, 281, 341, 328, 198, 3, 243, 71, 31, 189, 472, 60, 55, 276, 349, 27, 493, 383, 506, 0, 423, 354, 217, 67, 181, 47]"
120,0,4593,5696,5429,0,888,3705,"[0, 290, 406, 159, 145, 515, 836, 1026, 1010, 829, 586, 598, 841, 1151, 79, 462, 598, 365, 722, 714, 1233, 966, 1034, 36, 562, 373, 258]"
121,0,4319,1740,8008,0,2342,1977,"[0, 544, 236, 140, 646, 293, 5, 641, 7, 473, 464, 353, 594, 387, 395, 261, 458, 259, 507, 188, 375, 333, 626, 603, 83, 104, 563]"
122,0,4223,5515,6716,0,905,3318,"[0, 94, 828, 477, 935, 495, 322, 1049, 135, 851, 509, 614, 340, 979, 851, 582, 621, 278, 12, 475, 272, 340, 683, 575, 426, 756, 235]"
123,0,4071,74,10000,713,502,3569,"[0, 906, 278, 669, 680, 834, 221, 826, 165, 228, 376, 497, 131, 509, 838, 273, 44, 278, 1189, 616, 294, 520, 993, 119, 361, 254, 170]"
124,0,3015,5274,7741,0,2724,291,"[0, 41, 5, 8, 28, 24, 65, 7, 82, 53, 79, 71, 51, 95, 35, 58, 96, 81, 65, 36, 54, 48, 52, 95, 22, 30, 37]"
125,0,3771,6399,5113,0,1618,2153,"[0, 635, 654, 32, 701, 307, 25, 359, 713, 569, 72, 715, 438, 24, 257, 105, 636, 505, 216, 238, 102, 424, 189, 488, 479, 16, 674]"
126,0,4685,3621,6177,0,2948,1737,"[0, 29, 28, 387, 478, 496, 469, 565, 234, 540, 111, 85, 369, 404, 370, 162, 22, 200, 573, 73, 423, 568, 76, 257, 497, 11, 196]"
127,0,4662,2663,8176,0,3661,1001,"[0, 162, 197, 38, 274, 161, 251, 272, 53, 261, 163, 247, 43, 153, 180, 313, 238, 306, 17, 60, 224, 245, 6, 217, 297, 235, 309]"
128,0,3100,6810,4466,0,153,2947,"[0, 528, 729, 481, 953, 432, 130, 850, 416, 703, 312, 620, 795, 958, 703, 563, 519, 666, 246, 793, 106, 411, 770, 981, 916, 518, 977]"
129,0,4756,1747,7475,0,3184,1572,"[0, 484, 221, 458, 72, 393, 286, 93, 520, 468, 510, 467, 173, 149, 341, 49, 171, 353, 356, 305, 407, 33, 195, 348, 438, 522, 126]"
130,0,3168,2172,8471,0,2616,552,"[0, 181, 12, 61, 154, 155, 85, 3, 67, 90, 44, 160, 62, 128, 114, 22, 72, 115, 121, 1, 42, 37, 84, 88, 106, 68, 49]"
